N°_département_(BAN),Date_réception_DPE,Date_établissement_DPE,Date_visite_diagnostiqueur,Etiquette_GES,Etiquette_DPE,Année_construction,Surface_habitable_logement,Adresse_(BAN),Code_postal_(BAN)
72,2021-10-27,2021-10-27,2021-10-22,A,B,2021,83.2,3 Rue de la Tourellerie 72700 Rouillon,72700
72,2022-05-20,2022-05-20,2022-05-12,A,B,,172.4,7 Rue Carnot 72430 Noyen-sur-Sarthe,72430
72,2021-12-03,2021-12-03,2021-12-02,A,B,2020,76.8,Vauguyon Ruaudin 72000 Le Mans,72000
72,2023-01-17,2023-01-17,2023-01-06,A,B,1949,97.1,36 Rue Pasteur 72430 Noyen-sur-Sarthe,72430
72,2021-11-02,2021-11-02,2021-11-02,A,B,2006,113.1,23 Rue du Champ d’En Bas 72300 Sablé-sur-Sarthe,72300
72,2021-10-22,2021-10-22,2021-10-21,A,B,2013,153,12 Impasse du Clos des Chênes 72610 Saint-Paterne - Le Chevain,72610
72,2022-11-22,2022-11-22,2022-11-22,A,B,,117,7 Rue des Tilleuls 72400 La Chapelle-du-Bois,72400
72,2022-08-17,2022-08-17,2022-08-17,A,B,1914,138.5,5 Rue du Bourg Fleuri 72270 Courcelles-la-Forêt,72270
72,2022-12-19,2022-12-19,2022-12-19,A,B,,114.6,12 Allée des Mandolines 72250 Parigné-l'Évêque,72250
72,2023-06-12,2023-06-12,2023-06-12,A,B,2016,109.8,22 Rue de la Bretonnière 72380 Saint-Jean-d'Assé,72380
72,2022-11-29,2022-11-29,2022-11-24,A,B,2011,168.9,4 Rue du Puits 72550 La Quinte,72550
72,2023-09-01,2023-09-01,2023-09-01,A,B,2013,92.4,8 allée du petit val 72650 Aigné,72650
72,2022-05-17,2022-05-17,2022-05-17,A,B,2021,70.9,5 Impasse du Chemin Creux 72700 Pruillé-le-Chétif,72700
72,2021-09-02,2021-09-02,2021-09-02,A,B,2013,135.5,38 Route des Bois 72230 Moncé-en-Belin,72230
72,2022-02-02,2022-02-02,2022-02-01,A,B,2010,176.2,4 Lotissement des Charmilles 72320 Berfay,72320
72,2022-02-06,2022-02-04,2022-02-04,A,B,1995,184.2,20 Route de la Martiniere 72500 Montval-sur-Loir,72500
72,2022-05-09,2022-05-09,2022-05-06,A,B,1986,120,8 Rue Maurice Genevoix 72190 Neuville-sur-Sarthe,72190
72,2022-01-11,2022-01-11,2022-01-11,A,B,1983,107.8,8 Résidence de la Barre 72220 Saint-Ouen-en-Belin,72220
72,2021-12-30,2021-12-30,2021-12-30,A,B,2000,135.1,36 Rue Robinson 72270 Mézeray,72270
72,2022-05-20,2022-05-20,2022-05-12,A,B,,172.4,7 Rue Carnot 72430 Noyen-sur-Sarthe,72430
72,2023-01-31,2023-01-31,2023-01-31,A,B,1989,128,6 allée des pentes de l'Antonnière 72650 Aigné,72650
72,2021-10-27,2021-10-27,2021-10-27,A,B,,106.2,15 Rue des Rivauderies 72300 Précigné,72300
72,2023-04-19,2023-04-19,2023-04-19,A,B,,90.1,4 Rue de Monte Christo 72220 Écommoy,72220
72,2021-07-17,2021-07-17,2021-07-12,A,B,1947,138.2,2 Impasse de la Rouzerie 72360 Mayet,72360
72,2021-08-06,2021-08-06,2021-08-05,A,B,2001,190,694 Chemin du Clos du Puits 72530 Yvré-l'Évêque,72530
72,2022-01-25,2022-01-25,2022-01-19,A,B,1948,66,13 Residence les Damiers 72190 Sargé-lès-le-Mans,72190
72,2022-02-22,2022-02-22,2022-02-21,A,B,2004,229,7 Rue des Charpentiers 72220 Marigné-Laillé,72220
72,2021-12-07,2021-12-07,2021-12-07,A,B,1900,138.7,19 Chemin de la Grande Ligne 72000 Le Mans,72000
72,2023-01-11,2023-01-11,2022-12-05,A,B,,224.5,Loué,72540
72,2021-09-21,2021-09-21,2021-09-21,A,B,1989,94.1,24ter Avenue Georges Desnos 72400 La Ferté-Bernard,72400
72,2021-10-06,2021-10-06,2021-09-28,A,B,2006,309.5,26 Route de Beaucé 72300 Solesmes,72300
